Date,Campaign Lift
2023-08-01,-0.07312517580872013
2023-08-02,0.21671788249528712
2023-08-03,0.19473139589946853
2023-08-04,0.14431271264784074
2023-08-05,0.10318051417852803
2023-08-06,0.0004337540481493818
2023-08-07,-0.07711073606757923
2023-08-08,0.011540780294548414
2023-08-09,-0.04016484740476711
2023-08-10,0.02245033569412147
2023-08-11,0.021947026373460243
2023-08-12,0.15503998776330752
2023-08-13,-0.07005472048315586
2023-08-14,-0.04638071769598029
2023-08-15,-0.15394253903025834
2023-08-16,0.07942769082863221
2023-08-17,0.2938172938172938
2023-08-18,0.6257326881134133
2023-08-19,0.11061096345078525
2023-08-20,-0.1886209275177757
2023-08-21,-0.0738668851161155
2023-08-22,0.02720354555278437
2023-08-23,-0.11659481390423088
2023-08-24,-0.19898359425628442
2023-08-25,0.09970700794991472
2023-08-26,-0.007862119545287927
2023-08-27,-0.059948012852674704
2023-08-28,0.17355603390389795
2023-08-29,-0.03896815415785426
2023-08-30,0.02261204302205555
2023-08-31,0.32541098508984323
2023-09-01,0.5514601045572163
